nquest,pesofit,y,riscons2
504730,.34332293,25163.305,40
504792,.33522955,43841.086,0
504821,.72100145,107678.73,70
504885,.47254017,6506.5977,100
504889,.3187283,58222.43,0
504921,1.733636,31954.977,50
504937,1.5406351,20600,50
505022,.29037097,19650,0
505167,.24566139,27710.139,0
505228,1.7926443,60536.582,0
505243,1.0169914,53482.703,0
505390,.8247664,107872.27,80
505407,.30286887,18494.66,100
505424,.62203139,40617.391,0
505517,1.1030968,35184.07,70
505525,1.4030923,135930.52,80
505534,.98939973,31386.295,10
505540,.8733663,18539.754,0
505576,.84175879,23057.607,40
505594,.35595086,28831.078,100
505606,.52818114,44921.059,70
505655,1.5197427,64758.285,0
505672,1.3036599,39423.242,100
505681,1.4291449,14144.931,50
505768,.22052343,40331.766,0
505771,.24061437,49544.652,50
505806,.3468411,32207.33,50
505810,.69400108,121608.65,50
505818,.64253527,158800.33,70
505839,2.4380951,37874.961,50
506025,.54204923,45936.832,50
506100,1.1751032,9237.3301,0
506107,1.2022352,32050.367,100
506112,.87577683,20350.996,0
506152,.72771358,34708.328,0
506195,.35521996,21958.326,0
506385,.23104118,56333.871,0
506396,.85701472,39720.168,0
506402,.78044516,16560.652,50
506410,1.5477709,49534.82,0
506413,1.4914305,49546.348,0
506418,.75220054,20333.648,0
506446,.51745987,40704.98,100
506458,.8910675,52689,100
506492,1.7758442,31652.623,0
506565,.17613542,71598.641,100
506613,.22327055,11400,50
506628,1.9953809,101366.57,0
506736,.43045744,58566.297,40
506738,.61888248,36401.984,100
506758,1.5776975,51803.395,20
506767,1.2733566,56863.781,50
506798,.31183246,31467.672,20
506799,.30620453,47547.375,40
507037,.27160129,44057.773,70
507157,.98289382,11662.933,70
507182,.47385621,27215.338,100
507282,.89491737,55751.012,100
507303,1.2407063,38455.637,30
507316,1.2407063,33361.25,10
507319,1.2630261,17935.311,10
507329,1.591611,64105.387,20
507336,1.5408357,43702.773,40
507360,1.2251823,34669.059,40
507419,.42104137,95239.203,50
507444,.58838594,21392.932,0
507541,.49552193,49243.984,50
